team,logo
UCLA,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png
UConn,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png
UIC,https://a.espncdn.com/i/teamlogos/ncaa/500/82.png
UL Monroe,https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png
UMass,https://a.espncdn.com/i/teamlogos/ncaa/500/113.png
UMass Lowell,https://a.espncdn.com/i/teamlogos/ncaa/500/2349.png
UMBC,https://a.espncdn.com/i/teamlogos/ncaa/500/2378.png
UNC Asheville,https://a.espncdn.com/i/teamlogos/ncaa/500/2427.png
UNC Greensboro,https://a.espncdn.com/i/teamlogos/ncaa/500/2430.png
UNC Wilmington,https://a.espncdn.com/i/teamlogos/ncaa/500/350.png
University of Northwestern Ohio,
UNLV,https://a.espncdn.com/i/teamlogos/ncaa/500/2439.png
USC,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png
UT Arlington,https://a.espncdn.com/i/teamlogos/ncaa/500/250.png
UT Martin,https://a.espncdn.com/i/teamlogos/ncaa/500/2630.png
UT Rio Grande Valley,https://a.espncdn.com/i/teamlogos/ncaa/500/292.png
Utah,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png
Utah State,https://a.espncdn.com/i/teamlogos/ncaa/500/328.png
Utah Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/3101.png
Utah Valley,https://a.espncdn.com/i/teamlogos/ncaa/500/3084.png
UTEP,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png
UTSA,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png
Valparaiso,https://a.espncdn.com/i/teamlogos/ncaa/500/2674.png
Vanderbilt,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png
VCU,https://a.espncdn.com/i/teamlogos/ncaa/500/2670.png
Vermont,https://a.espncdn.com/i/teamlogos/ncaa/500/261.png
Villanova,https://a.espncdn.com/i/teamlogos/ncaa/500/222.png
Virginia,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png
Virginia Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png
Wagner,https://a.espncdn.com/i/teamlogos/ncaa/500/2681.png
Wake Forest,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png
Washington,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png
