id,tournament_id
400510811,NA
400510698,NA
400510204,NA
400509686,NA
400509685,NA
400509529,NA
400509184,NA
400507888,NA
400510867,NA
400512207,NA
400510587,NA
400534754,NA
400512206,NA
400512205,NA
400512204,NA
400511408,NA
400510945,NA
400509684,NA
400507889,NA
400507577,NA
400507576,NA
400505248,NA
400505074,NA
400504881,NA
400507575,NA
400505390,NA
400503798,NA
400512849,NA
400512609,NA
400512597,NA
400512502,NA
400512479,NA
400512376,NA
400512329,NA
400512272,NA
400512088,NA
400511746,NA
400511725,NA
400511657,NA
400511645,NA
400511593,NA
400511417,NA
400510927,NA
400510886,NA
400510697,NA
400510696,NA
400510695,NA
400510389,NA
400510388,NA
400510203,NA
400510202,NA
400509186,NA
400509185,NA
400509183,NA
400507574,NA
400507573,NA
400505391,NA
400505249,NA
400505073,NA
400505072,NA
400510201,NA
400505071,NA
400512203,NA
400511696,NA
400511312,NA
400510526,NA
400510200,NA
400509378,NA
400509182,NA
400504882,NA
400503797,NA
400509528,NA
400512839,NA
400509857,NA
400509858,NA
400509859,NA
400509856,NA
400505388,NA
400505387,NA
400505389,NA
400505247,NA
400511482,NA
400511481,NA
400511480,NA
400511479,NA
400511138,NA
400511137,NA
400511136,NA
400510386,NA
400509377,NA
400510387,NA
400511266,NA
400511212,NA
400511175,NA
400509683,NA
400505913,NA
400505912,NA
400505911,NA
400508481,NA
400511193,NA
400509682,NA
400509681,NA
400507886,NA
400509680,NA
400508480,NA
400508479,NA
400510563,NA
400509679,NA
400508478,NA
400507887,NA
400507885,NA
400505385,NA
400505245,NA
400505910,NA
400505386,NA
400508850,NA
400508848,NA
400508851,NA
400508849,NA
400508854,NA
400510628,NA
400512393,NA
400512361,NA
400512347,NA
400511135,NA
400510385,NA
400510384,NA
400509376,NA
400509181,NA
400509180,NA
400509179,NA
400509178,NA
400509177,NA
400508853,NA
400508852,NA
400507572,NA
400505246,NA
400505244,NA
400505070,NA
400505069,NA
400505068,NA
400505067,NA
400507571,NA
400507570,NA
400507569,NA
400507568,NA
400510964,NA
400510544,NA
400510383,NA
400507567,NA
400511791,NA
400510944,NA
400512310,NA
400511592,NA
400511591,NA
400511589,NA
400512202,NA
400511590,NA
400511588,NA
400510885,NA
400509525,NA
400503794,NA
400532114,NA
400511296,NA
400509927,NA
400528814,NA
400515362,NA
400512596,NA
400512464,NA
400512200,NA
400511398,NA
400510955,NA
400503796,NA
400503795,NA
400510866,NA
400512855,NA
400512608,NA
400512576,NA
400512549,NA
400512290,NA
400512201,NA
400512199,NA
400512198,NA
400510199,NA
400510198,NA
400510197,NA
400510196,NA
400509527,NA
400509526,NA
400509524,NA
400509375,NA
400509374,NA
400510195,NA
400512095,NA
400512838,NA
400509855,NA
400511782,NA
400511047,NA
400510926,NA
400511008,NA
400511385,NA
400533954,NA
400533934,NA
400511134,NA
400511133,NA
400510382,NA
400509373,NA
400509678,NA
400511763,NA
400504879,NA
400504876,NA
400503793,NA
400515249,NA
400511682,NA
400511333,NA
400511311,NA
400510694,NA
400510693,NA
400508847,NA
400504878,NA
400533354,NA
400511656,NA
400510810,NA
400510809,NA
400510808,NA
400512412,NA
400510807,NA
400510692,NA
400504875,NA
400512487,NA
400512456,NA
400512328,NA
400512271,NA
400512433,NA
400504877,NA
400508477,NA
400509852,NA
400505384,NA
400505382,NA
400508476,NA
400509853,NA
400510627,NA
400509854,NA
400508475,NA
400508474,NA
400505383,NA
400505381,NA
400508845,NA
400511384,NA
400508844,NA
400510612,NA
400508473,NA
400508846,NA
400513155,NA
400512425,NA
400512360,NA
400512346,NA
400512309,NA
400511132,NA
400511131,NA
400511130,NA
400511129,NA
400509926,NA
400509851,NA
400509850,NA
400509849,NA
400509372,NA
400508843,NA
400508472,NA
400505243,NA
400510586,NA
400509371,NA
400505380,NA
400508842,NA
400508471,NA
400512289,NA
400503790,NA
400511587,NA
400505909,NA
400503792,NA
400511781,NA
400503789,NA
400512575,NA
400512196,NA
400512190,NA
400511478,NA
400511477,NA
400510194,NA
400510193,NA
400505908,NA
400505066,NA
400504874,NA
400510884,NA
400512548,NA
400512197,NA
400511476,NA
400511475,NA
400510943,NA
400510904,NA
400510806,NA
400512832,NA
400510988,NA
400505242,NA
400504873,NA
400511192,NA
400512195,NA
400511669,NA
400511586,NA
400511211,NA
400511174,NA
400510805,NA
400510691,NA
400509522,NA
400509521,NA
400509370,NA
400507883,NA
400507565,NA
400507564,NA
400505907,NA
400505906,NA
400505064,NA
400503791,NA
400512463,NA
400511407,NA
400510690,NA
400505065,NA
400504871,NA
400512411,NA
400511585,NA
400511584,NA
400511259,NA
400511252,NA
400511046,NA
400510804,NA
400510803,NA
